id,Numéro d'article,Nom du produit,Numéro du lot,Emplacement,Site,Entrepôt,Stock physique,Physique disponible
2282,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,8.0,8.0
2283,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,5.0,5.0
2284,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,13.0,13.0
2285,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,10.0,10.0
2286,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,2.0,2.0
2287,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,6.0,6.0
2288,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,2.0,2.0
2289,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,1.0,1.0
2290,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R12,99,MAKLADA,FILIERE,1.0,1.0
2291,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,2.0,2.0
2292,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,4.0,4.0
2293,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,2.0,2.0
2294,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,3.0,3.0
2295,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,3.0,3.0
2296,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,3.0,3.0
2297,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,3.0,3.0
2298,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,2.0,2.0
2299,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,2.0,2.0
2300,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,1.0,1.0
2301,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,1.0,1.0
2302,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,1.0,1.0
2303,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,1.0,1.0
2304,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,1.0,1.0
2305,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,1.0,1.0
2306,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,1.0,1.0
2307,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,1.0,1.0
2308,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,2.0,2.0
2309,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,2.0,2.0
2310,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,2.0,2.0
2311,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,2.0,2.0
2312,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2313,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,2.0,2.0
2314,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,6.0,6.0
2315,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,2.0,2.0
2316,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,2.0,2.0
2317,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,4.0,4.0
2318,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,2.0,2.0
2319,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,2.0,2.0
2320,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,2.0,2.0
2321,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,1.0,1.0
2322,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2323,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,1.0,1.0
2324,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,1.0,1.0
2325,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,1.0,1.0
2326,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,4.0,4.0
2327,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,2.0,2.0
2328,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2329,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R12,99,MAKLADA,FILIERE,1.0,1.0
2330,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,3.0,3.0
2331,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,2.0,2.0
2332,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,1.0,1.0
2333,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2334,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,2.0,2.0
2335,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,4.0,4.0
2336,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,2.0,2.0
2337,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,5.0,5.0
2338,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,4.0,4.0
2339,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,3.0,3.0
2340,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,1.0,1.0
2341,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2342,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,1.0,1.0
2343,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,2.0,2.0
2344,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,4.0,4.0
2345,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,6.0,6.0
2346,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,1.0,1.0
2347,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,3.0,3.0
2348,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,1.0,1.0
2349,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,3.0,3.0
2350,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,1.0,1.0
2351,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,1.0,1.0
2352,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,1.0,1.0
2353,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,1.0,1.0
2354,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,1.0,1.0
2355,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,1.0,1.0
2356,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,1.0,1.0
2357,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,2.0,2.0
2358,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,1.0,1.0
2359,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,1.0,1.0
2360,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2361,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,2.0,2.0
2362,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,1.0,1.0
2363,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,1.0,1.0
2364,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2365,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2366,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,2.0,2.0
2367,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,2.0,2.0
2368,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,1.0,1.0
2369,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,1.0,1.0
2370,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2371,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R12,99,MAKLADA,FILIERE,1.0,1.0
2372,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,2.0,2.0
2373,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,1.0,1.0
2374,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,1.0,1.0
2375,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,1.0,1.0
2376,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R11,99,MAKLADA,FILIERE,2.0,2.0
2377,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2378,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,4.0,4.0
2379,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,4.0,4.0
2380,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2381,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R11,99,MAKLADA,FILIERE,1.0,1.0
2382,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,1.0,1.0
2383,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,2.0,2.0
2384,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2385,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,4.0,4.0
2386,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,4.0,4.0
2387,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,4.0,4.0
2388,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,1.0,1.0
2389,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2390,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2391,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,2.0,2.0
2392,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,2.0,2.0
2393,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,3.0,3.0
2394,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,1.0,1.0
2395,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,1.0,1.0
2396,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,1.0,1.0
2397,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2398,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,1.0,1.0
2399,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R11,99,MAKLADA,FILIERE,1.0,1.0
2400,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,1.0,1.0
2401,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,2.0,2.0
2402,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,4.0,4.0
2403,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,1.0,1.0
2404,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,1.0,1.0
2405,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,1.0,1.0
2406,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,1.0,1.0
2407,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,2.0,2.0
2408,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,3.0,3.0
2409,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,2.0,2.0
2410,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,1.0,1.0
2411,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,14.0,14.0
2412,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,18.0,18.0
2413,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,22.0,22.0
2414,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,20.0,20.0
2415,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,17.0,17.0
2416,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,7.0,7.0
2417,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,3.0,3.0
2418,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,6.0,6.0
2419,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,2.0,2.0
2420,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,2.0,2.0
2421,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R11,99,MAKLADA,FILIERE,4.0,4.0
2422,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,10.0,10.0
2423,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,5.0,5.0
2424,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,10.0,10.0
2425,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,6.0,6.0
2426,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,5.0,5.0
2427,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,6.0,6.0
2428,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,2.0,2.0
2429,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,3.0,3.0
2430,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,2.0,2.0
2431,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2432,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R11,99,MAKLADA,FILIERE,1.0,1.0
2433,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R14,99,MAKLADA,FILIERE,1.0,1.0
2434,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,6.0,6.0
2435,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,9.0,9.0
2436,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,9.0,9.0
2437,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,15.0,15.0
2438,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,11.0,11.0
2439,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,4.0,4.0
2440,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,5.0,5.0
2441,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R08,99,MAKLADA,FILIERE,4.0,4.0
2442,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R09,99,MAKLADA,FILIERE,1.0,1.0
2443,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R10,99,MAKLADA,FILIERE,1.0,1.0
2444,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R11,99,MAKLADA,FILIERE,2.0,2.0
2445,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R01,99,MAKLADA,FILIERE,14.0,14.0
2446,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R02,99,MAKLADA,FILIERE,22.0,22.0
2447,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R03,99,MAKLADA,FILIERE,23.0,23.0
2448,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R04,99,MAKLADA,FILIERE,20.0,20.0
2449,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R05,99,MAKLADA,FILIERE,21.0,21.0
2450,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R06,99,MAKLADA,FILIERE,16.0,16.0
2451,FILIERE-M28x15-A12,FILIERE DE TREFILAGE EN CARBURE DE TUNGSTENE M25x15-A12,R07,99,MAKLADA,FILIERE,9.0,9.0
